id.exposure	exposure	id.outcome	outcome	b_IVW_MRE	se_IVW_MRE	pval_IVW_MRE	b_IVW_FE	se_IVW_FE	pval_IVW_FE	b_Egger	se_Egger	pval_Egger	Egger_intercept	pval_intercept	Het_IVW_pval	Het_Egger_pval	b_W_Med	se_W_Med	pval_W_Med	b_W_Mod	se_W_Mod	pval_W_Mod	nsnps
met-a-444	X-10510	ieu-b-18	multiple sclerosis	-0.582008552249422	0.444592424874654	0.190506109946087	-0.582008552249422	0.444592424874654	0.190506109946087	-0.510329330791597	0.988422430850538	0.605640071016537	-0.00218608120080459	0.935285825522943	0.992364530671269	0.925529951824034	-0.569587140184778	0.471598731745934	0.227132203224077	-0.56167332231442	0.518351163132562	0.278552458239268	3
met-a-495	X-11315	ieu-b-18	multiple sclerosis	-0.133789636450746	0.469121852373204	0.77549731502827	-0.133789636450746	0.469121852373204	0.77549731502827	0.284270146275868	1.50964084231115	0.850639005643164	-0.0152669434819307	0.770782878254486	0.811085049022777	0.563383688647702	-0.0482990934827775	0.540133949352381	0.928747664901063	0.0192542191205405	0.630181830137093	0.975625678869683	3
met-a-427	2-hydroxyisobutyrate	ieu-b-18	multiple sclerosis	0.36779444345829	0.851811240868354	0.665901840903945	0.36779444345829	0.517684777833902	0.477418788159675	-0.294490645033949	2.89159302630888	0.91888070753847	0.0153178807685644	0.802281099103524	0.0667085639882653	0.0239897503701683	0.18337259837751	0.628646577185426	0.770520398024583	-0.0112238790704504	0.69817087016455	0.987173664097717	3
met-a-683	X-13429	ieu-b-18	multiple sclerosis	0.0493799470194448	0.172035202204393	0.77408631003669	0.0493799470194448	0.131642250408694	0.707580792990152	0.43520329391758	0.536124577606065	0.416930635744102	-0.0408458305284483	0.440608229971083	0.181259117699258	0.143325918597815	0.113466978255611	0.14572113002922	0.436180982471125	0.178506379138771	0.161102606241932	0.267849239648383	3
met-a-359	Gamma-glutamylglutamine	ieu-b-18	multiple sclerosis	-0.154137524572487	0.671800470754527	0.818527384050096	-0.154137524572487	0.671800470754527	0.818527384050096	-2.3372459053567	2.28612170190955	0.306609195240813	0.0393181796698068	0.317770780378372	0.583950866873143	0.780332536084643	-0.0467140283981531	0.740435399501418	0.949694881326701	-0.74355043325655	0.849815549597461	0.381598346919207	3
met-a-570	X-12063	ieu-b-18	multiple sclerosis	-0.0723061243342734	0.154266795210629	0.639278167283372	-0.0723061243342734	0.10223908683081	0.479426141335613	0.0341793161168549	0.255753217512619	0.893685842099	-0.0108685192621914	0.587057798611718	0.0336689642010532	0.0243400063012442	-0.0637282382765559	0.123749593439959	0.606568844414779	-0.0383369560439699	0.123999679711107	0.757192366181759	7
met-a-460	Androsterone sulfate	ieu-b-18	multiple sclerosis	-0.12859650770587	0.105486438981869	0.222813471461992	-0.12859650770587	0.105486438981869	0.222813471461992	-0.175631502208642	0.15240886818758	0.249168807872107	0.00780167809093329	0.652944165938133	0.514895787942938	0.293327499007093	-0.155493627848926	0.111043073341989	0.161423467836287	-0.159648096650667	0.119003311549335	0.179744117425815	3
met-a-618	Decanoylcarnitine	ieu-b-18	multiple sclerosis	0.282431559231229	0.222164122452136	0.203631049953126	0.282431559231229	0.222164122452136	0.203631049953126	0.18525074691015	0.646371202773901	0.774417713800406	0.004713917766978	0.872800415619646	0.674932309333949	0.383124253107143	0.43544475923492	0.247041202390526	0.0779611891424461	0.454762307670133	0.312274225563112	0.145312047806377	3
met-a-419	1,5-anhydroglucitol (1,5-AG)	ieu-b-18	multiple sclerosis	-0.496153354777199	0.469501641573748	0.290618411527575	-0.496153354777199	0.469501641573748	0.290618411527575	-1.44317150523038	1.38837062768201	0.298585570923635	0.0260888447944428	0.468569211150259	0.767345874632686	0.947794588887234	-0.584663649032	0.52198954008944	0.262684892849797	-0.644807013990263	0.615150867482126	0.294542071533068	3
met-a-524	X-11491	ieu-b-18	multiple sclerosis	0.186846698582751	0.277117255819786	0.50015149436932	0.186846698582751	0.205634539305252	0.363542930572402	0.410947902143366	1.18741038721431	0.7292769510241	-0.0149273605939969	0.841896217644828	0.162662112037945	0.0616222978837022	0.234250806326184	0.236410997097871	0.321752695256951	0.250836677276526	0.255655778569735	0.326518757167032	3
met-a-578	Erythronate*	ieu-b-18	multiple sclerosis	-0.49498455826645	0.930145641449621	0.594616484499012	-0.49498455826645	0.879089242547604	0.573390488711817	7.63104088879026	6.98732841937871	0.274777857909581	-0.104705146195083	0.241084328537174	0.32643297713791	0.352393652708544	-0.116662778966585	1.03957333703298	0.910647553713583	0.210723665290307	1.12879728958042	0.851911685880778	3
met-a-646	X-12728	ieu-b-18	multiple sclerosis	0.0146420616881291	0.0288473380948477	0.611754489216607	0.0146420616881291	0.0288473380948477	0.611754489216607	0.00480707754903915	0.0894548788196994	0.957144340912274	0.0091554565862355	0.907534790865858	0.814269142318095	0.693213553600046	0.0134587824033684	0.0348062292315247	0.698995045513569	0.0069767383185767	0.0380118923186452	0.854373601513202	6
met-a-629	X-12510--2-aminooctanoic acid	ieu-b-18	multiple sclerosis	-0.228628494470485	0.32004623551086	0.475004086387115	-0.228628494470485	0.158790171386956	0.149919703713569	0.368780402769987	0.266144699098884	0.165857245805088	-0.0558604530498646	0.00515714611573959	0.0172083909277321	0.583115807561129	-0.142246010982352	0.163542653475845	0.384421038170735	-0.122534753952314	0.163448046940756	0.453443688617552	3
met-a-652	Isovalerylcarnitine	ieu-b-18	multiple sclerosis	0.294661929332424	0.488501611020006	0.546378701110476	0.294661929332424	0.31558683025676	0.350461107814254	9.21723143787278	4.38644041299595	0.0356145558047039	-0.305715645251965	0.0414090860103467	0.0910778112137789	0.426298175077887	0.323415609565695	0.371220515417374	0.383632759137862	0.436746943465355	0.428336314622343	0.307901327585468	3
met-a-661	X-12798	ieu-b-18	multiple sclerosis	-0.0988025956798231	0.3353101576752	0.768253384133502	-0.0988025956798231	0.140764758661466	0.482742363769068	0.267578886525628	0.409473558071323	0.513453008171528	-0.0429535200454828	0.201395280424254	0.00343337422886051	0.0378591512074665	-0.0212307656968429	0.142979485590227	0.881957501929041	-0.0225239876313248	0.141377144182319	0.873417984550776	3
met-a-558	1-arachidonoylglycerophosphocholine*	ieu-b-18	multiple sclerosis	0.122646771101748	0.548065321220252	0.822927479955092	0.122646771101748	0.282979733707133	0.664715590099392	0.00670402214155868	1.50390777596138	0.996443253946744	0.00495859016489275	0.928420465023545	0.0234928367632578	0.00637168059760559	0.137659034686994	0.304036717420032	0.650713586084169	0.150406721673595	0.318820140340155	0.637097808846391	3
met-a-306	Leucine	ieu-b-18	multiple sclerosis	-2.05111164352807	1.2422897104225	0.098723563820943	-2.05111164352807	0.876552807599909	0.0192850314898027	11.6333676581755	7.00084283910833	0.0965710180879127	-0.0761189919382909	0.0477624606887075	0.0236519986066085	0.103286879632982	-2.20946393837043	1.36916333807793	0.106585372218647	-3.65606386919934	2.70460295136644	0.176441481165678	12
met-a-304	Tryptophan	ieu-b-18	multiple sclerosis	-0.872033457228502	0.835756065903708	0.29675998369001	-0.872033457228502	0.765645867736992	0.254723412141396	10.4260458677304	11.0453594670556	0.345205434003174	-0.0599150922381292	0.304980513775335	0.265337679225973	0.272534965195732	-0.923125908757557	1.11233165319835	0.406594374432957	-0.896993580314154	2.12389155161603	0.672780569057415	17
met-a-476	Butyrylcarnitine	ieu-b-18	multiple sclerosis	0.0455038622792965	0.188077435756798	0.808824976378761	0.0455038622792965	0.110695532554644	0.681019553003922	0.0296507851660399	0.430391846646762	0.945075160966339	0.00150189401485034	0.965226001358533	0.0341650737556227	0.0132196095567217	0.111640889116833	0.125612403528507	0.374125190334186	0.123066452101272	0.128242056586934	0.337235468649603	4
met-a-596	X-12244--N-acetylcarnosine	ieu-b-18	multiple sclerosis	-0.394646402645368	0.450492073947076	0.381011515341951	-0.394646402645368	0.450492073947076	0.381011515341951	1.56425443243311	5.4255061890795	0.773105680338701	-0.0424911237654338	0.716885353133325	0.492002957285813	0.262849690574821	-0.557743284695785	0.548392772722444	0.309129284100556	-0.789097038679801	0.691314645266776	0.253685152347642	3
met-a-517	X-11445--5-alpha-pregnan-3beta,20alpha-disulfate	ieu-b-18	multiple sclerosis	0.33087416386934	0.179857665081996	0.0658204470280632	0.33087416386934	0.179857665081996	0.0658204470280632	1.39146789991601	2.22193909850715	0.531157310402919	-0.076292641550748	0.631815812039779	0.486247442184646	0.278827849797522	0.424139609393521	0.221791807249207	0.0558336012935691	0.459106524387987	0.267704868558926	0.086350243812428	3
met-a-375	Kynurenine	ieu-b-18	multiple sclerosis	1.60334662813603	1.27200439618409	0.207493274679757	1.60334662813603	0.570549978886373	0.00495142071475141	0.00543258717104413	4.7530341752928	0.999088040118089	0.0299593425345455	0.719014969411597	0.00694049074074607	0.003009810936046	1.24631418201852	0.721297548060034	0.0840100950545816	0.547191793466155	0.746852455894413	0.463763479381675	3
met-a-383	3-methyl-2-oxovalerate	ieu-b-18	multiple sclerosis	0.711563482927612	0.817666440013019	0.384170971085403	0.711563482927612	0.817666440013019	0.384170971085403	5.89114184164697	5.6140178129384	0.294011140580322	-0.0618875119365505	0.351047448475148	0.520899757317227	0.509678021931134	1.16303543009133	0.956459275056232	0.223992508672437	1.24763988128578	1.1101861804291	0.261093045899784	3
